title,authors,year,source,source_dataset
towards prediction of power consumption of virtual machines for varying loads,H. A. Salam; F. Davoli; A. Carrega; A. Timm-Giel,2018,2018 28th International Telecommunication Networks and Applications Conference (ITNAC),IEEE
mo-ddpg: an affinity and anti-affinity-based container service migration strategy in mec,Q. Deng; S. Zhang; X. Yang; Q. Zuo; Z. Wang; S. Long,2024,2024 IEEE International Conference on High Performance Computing and Communications (HPCC),IEEE
"a monitoring, observability and analytics framework to improve the sustainability of b5g technologies",M. Akbari; R. Bolla; R. Bruschi; F. Davoli; C. Lombardo; B. Siccardi,2024,2024 IEEE International Conference on Communications Workshops (ICC Workshops),IEEE
multi-application hierarchical autoscaling for kubernetes edge clusters,I. Dimolitsas; D. Spatharakis; D. Dechouniotis; A. Zafeiropoulos; S. Papavassiliou,2023,2023 IEEE International Conference on Smart Computing (SMARTCOMP),IEEE
temporal knowledge graph construction for microservice-based digital power applications,J. Zhang; Y. Wang; Z. Liang; M. Zheng; L. Xie; J. Cui,2025,"2025 8th International Conference on Energy, Electrical and Power Engineering (CEEPE)",IEEE
a comprehensive modeling and scheduling approach for allocating distributed multi-robot software to the edge/cloud,Y. Zhang; F. Mirus; F. Pasch; K. -U. Scholl; C. Wurll; B. Hein,2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),IEEE
directives for function offloading in 5g networks based on a performance characteristics analysis,F. Dettinger; M. Weiß; M. Weyrich; D. Baumann; M. Sommer,2025,2025 IEEE International Automated Vehicle Validation Conference (IAVVC),IEEE
analysis of building model forecasts using autonomous hvac optimization system for residential neighborhood,V. Lebakula; H. Zandi; C. Winstead; E. Tsybina; T. Kuruganti; J. Hill,2023,2023 IEEE Energy Conversion Congress and Exposition (ECCE),IEEE
towards a framework for monitoring and analyzing high performance computing environments using kubernetes and prometheus,N. Sukhija; E. Bautista,2019,"2019 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",IEEE
elk stack – improving the computing clusters at dfcti through log analysis,R. Poenaru; D. Ciobanu-Zabet,2020,2020 19th RoEduNet Conference: Networking in Education and Research (RoEduNet),IEEE
